id,title,year,gross
3518950,Cold Mountain,2003,95636509
3519491,Collateral,2004,101005703
3519976,Colma: The Musical,2006,129974
3520337,Color of the Cross,2006,84744
3521382,Come Away Home,2005,71598
3521492,Come Early Morning,2006,119452
3523611,Commune,2005,41715
3526209,Confessions of a Teenage Drama Queen,2004,29331068
3526306,Confidence,2003,41000000
3527015,Connie and Carla,2004,8054280
3527529,Conspiracy of Silence,2003,2598
3527602,Constantine,2005,75976178
3527607,Constantine's Sword,2007,179507
3527635,Constellation,2005,306533
3528644,Control,2007,871577
3528723,Control Room,2004,2586511
3528754,Controlled Chaos,2003,40289
3529055,Conversations with God,2006,422897
3529074,Conversations with Other Women,2005,379122
3530117,Copying Beethoven,2006,352786
3530199,Coral Reef Adventure,2003,24600000
3531036,Corpse Bride,2005,53359111
3533935,Cover,2007,79436
3534275,Cowboy del Amor,2005,4438
3535004,Cradle 2 the Grave,2003,34604054
3535192,Crank,2006,27829874
3535249,Crash,2004,55382847
3535884,Crazy Like a Fox,2004,9376
3535901,Crazy Love,2007,300372
3537588,Criminal,2004,14688078
3539182,Crossover,2006,7009668
3539699,Cruel World,2005,16344
3540069,Crutch,2004,20500
3540301,Cry Wolf,2005,10047674
3540903,Cthulhu,2007,15213
3543611,Curious George,2006,58640119
3543909,Cursed,2005,19297522
3546190,Cú và chim se se,2007,47071
3546577,D.E.B.S.,2004,96793
3547765,Daddy Day Camp,2007,13235267
3547766,Daddy Day Care,2003,104297061
3548015,Daddy's Little Girls,2007,31339647
3549605,Dallas 362,2003,18928
3549691,Daltry Calhoun,2005,12460
3550415,Dan in Real Life,2007,47642963
3553914,Dare Not Walk Alone,2006,52052
3553971,Daredevil,2003,102543520
3554033,Darfur Now,2007,107841
3554645,Dark Matter,2007,30041
3555151,Dark Water,2005,25473352
3555382,Darkness Falls,2003,32551396
3559194,Date Movie,2006,48548426
3559782,Dave Chappelle's Block Party,2005,11694528
3559905,David & Layla,2005,120750
3560724,Dawn of the Dead,2004,59020957
3561062,Day Night Day Night,2006,31777
3561295,Day Zero,2007,13800
3564375,De-Lovely,2004,13337299
3565583,Dead Silence,2007,16809076
3565896,Deadlands: The Rising,2006,2025
3567361,Dear Wendy,2005,23106
3567538,Death at a Funeral,2007,8579684
3568059,Death of a Dynasty,2003,42108
3568069,Death of a Ghost Hunter,2007,3490
3568379,Death Sentence,2007,9525276
3569290,December Boys,2007,46474
3569545,Deck the Halls,2006,35092918
3569856,Dedication,2007,91169
3571443,Deja Vu,2006,64038616
3572202,Delirious,2006,85976
3572329,Deliver Us from Eva,2003,17334912
3572332,Deliver Us from Evil,2006,30577122
3572613,Delta Farce,2007,8074933
3580867,Derailed,2005,36024076
3581814,Descent,2007,13361
3582074,Desert Bayou,2007,14350
3585083,Deuce Bigalow: European Gigolo,2005,22264487
3585812,Devil Girl,2007,2769
3588210,Diarios de motocicleta,2004,16756372
3588283,Diary of a Mad Black Woman,2005,50633099
3588417,Diary of the Dead,2007,958961
3588849,Dickie Roberts: Former Child Star,2003,22734486
3596107,Dig!,2004,127067
3596149,Diggers,2006,65937
3598713,Dirty,2005,271078
3598843,Dirty Dancing: Havana Nights,2004,14161590
3598869,Dirty Deeds,2005,145450
3599039,Dirty Laundry,2006,20138
3599161,Dirty Love,2005,58116
3599568,Disappearances,2006,312642
3601557,Disturbia,2007,80209692
3601725,Divan,2003,56214
3602069,Divine Intervention,2007,1485
3603969,DOA: Dead or Alive,2006,480314
3604912,Dodgeball: A True Underdog Story,2004,114326736
3605209,Dog Days of Summer,2007,5383
3607275,Dominion: Prequel to the Exorcist,2005,251495
3607307,Domino,2005,10169202
3608202,Don't Come Knocking,2005,438732
3610123,Doogal,2006,7382993
3610147,Doom,2005,28031250
3610472,Dopamine,2003,22278
3611036,Dorian Blues,2004,72234
3611159,Dorm Daze,2003,56127
3611898,Dot the I,2003,306224
3612292,Double Dare,2004,50000
3613525,Down and Derby,2005,204481
3613682,Down in the Valley,2005,568695
3613960,Down to the Bone,2004,19723
3614018,Down with Love,2003,20298207
3614670,Dr. Bronner's Magic Soapbox,2006,18653
3616331,Drawing Restraint 9,2005,225041
3617144,Dreamcatcher,2003,33715436
3617224,Dreamer: Inspired by a True Story,2005,33022286
3617269,Dreamgirls,2006,103365956
3617413,Dreamland,2006,4350
3618600,Driftwood,2006,1066555
3619162,Drivers Wanted,2005,25189
3621141,Duane Hopwood,2005,13510
3622430,Duma,2005,860002
3622460,Dumb and Dumberer: When Harry Met Lloyd,2003,26276465
3623083,Duplex,2003,9692135
3623642,Dust to Glory,2005,639990
3624780,DysFunktional Family,2003,2223990
3626876,Earth,2007,38051724
3627569,Eastern Promises,2007,17114882
3627617,Easy,2003,14811
3627981,Eat This New York,2004,5847
3628098,Eating Out,2004,155212
3630184,Edmond,2005,131617
3632142,Eight Below,2006,81612565
3634936,Ekho: Fall of an Empire,2004,1000
3636405,El cantante,2006,7556004
3639314,El inmigrante,2005,14283
3639586,El laberinto del fauno,2006,37634615
3643264,El vacilón: The Movie,2005,1688757
3644852,Elektra,2005,24409722
3645112,Elephant,2003,1227000
3645456,Elf,2003,173398518
3645948,Elizabeth: The Golden Age,2007,16285240
3645952,Elizabethtown,2005,26838389
3646063,Ella Enchanted,2004,22918387
3646417,Ellie Parker,2005,34410
3648581,Emmanuel's Gift,2005,23578
3649064,Employee of the Month,2006,28435406
3651169,Enchanted,2007,127807262
3651414,Encounters at the End of the World,2007,943934
3651668,End of the Century,2003,391950
3651748,End of the Spear,2005,11967000
3654925,Envy,2004,12181484
3655210,Epic Movie,2007,39739367
3656038,Eragon,2006,75030163
3657011,Eros,2004,188248
3661226,Eternal Sunshine of the Spotless Mind,2004,34400301
3661352,Ethan Mao,2004,6839
3662013,Eulogy,2004,70527
3662538,EuroTrip,2004,17718223
3662938,Evan Almighty,2007,100462298
3663357,Even Money,2006,63911
3663410,Evening,2007,12406646
3664267,Everybody Wants to Be Italian,2007,350801
3664545,Everyone's Hero,2006,14522427
3664711,Everything Is Illuminated,2005,1705595
3665160,Evil Cult,2003,375
3667156,Exorcism,2003,1303
3667187,Exorcist: The Beginning,2004,41821986
3669354,Eye of the Dolphin,2006,71904
3671328,Facing the Giants,2006,10178331
3671417,Factory Girl,2006,1661464
3671438,Factotum,2005,808221
3671548,Fade to Black,2004,728243
3671813,Fahrenheit 9/11,2004,119194771
3671914,Failure to Launch,2006,88715192
3673093,Fall to Grace,2005,7047
3675794,Fantastic Four,2005,154696080
3676164,FAQs,2005,1407
3676258,Far from India,2003,8500
3677558,Fast Food Nation,2006,1004059
3677682,Fast Track,2006,3091922
3677804,Fat Albert,2004,48116322
3677877,Fat Girls,2006,10798
3679521,Fay Grim,2006,126242
3680099,Feast,2005,54556
3680120,Feast of Love,2007,3504875
3680673,Feel the Noise,2007,5867786
3683600,Fever Pitch,2005,42071069
3684218,Fierce People,2005,85410
3685271,Fighting Tommy Riley,2004,5199
3685288,Fighting Words,2007,35081
3685842,Film Geek,2005,17341
3686787,Final Destination 2,2003,46961214
3686788,Final Destination 3,2006,54098051
3687293,Find Me Guilty,2006,1173673
3687816,Finding Nemo,2003,380843261
3687822,Finding Neverland,2004,51680613
3688321,Finishing the Game: The Search for a New Bruce Lee,2007,52850
3689168,Fired!,2007,5172
3689244,Firehouse Dog,2007,13922019
3689394,Firewall,2006,48751189
3689813,First Daughter,2004,9055010
3689863,First Descent,2005,739690
3690173,First Morning,2003,42800
3692343,Flags of Our Fathers,2006,33602376
3692368,Flakes,2007,778
3692605,Flannel Pajamas,2006,123301
3693145,Flavors,2003,93370
3693659,Flicka,2006,20998709
3694008,Flight of the Phoenix,2004,21009180
3694084,Flightplan,2005,89707299
3695700,Flushed Away,2006,64665672
3695974,Flyboys,2006,13082288
3696178,Flying Saucer Rock 'N' Roll,2006,500000
3699157,For the Bible Tells Me So,2007,309123
3699703,For Your Consideration,2006,5542025
3701334,Forgiving Dr. Mengele,2006,10403
3702897,Four Brothers,2005,74494381
3703093,Four Lane Highway,2005,955
3703917,Fracture,2007,39015018
3705335,Frankie and Johnny Are Married,2003,22900
3706258,Freaky Friday,2003,110230332
3706346,Fred Claus,2007,72006777
3706530,Freddy vs. Jason,2003,82622655
3707303,Freedom Writers,2007,36605602
3707325,Freedomland,2006,12512886
3708842,Friday Night Lights,2004,61188085
3709401,Friends with Money,2006,13367101
3710483,From Justin to Kelly,2003,4922166
3712437,Fuck,2005,19791
3713864,Full Grown Men,2006,13716
3713966,Full of It,2007,11431
3714384,Fun with Dick and Jane,2005,110332737
3714852,Funny Games,2007,1294640
3714889,Funny Money,2006,1839
3715054,Fur: An Imaginary Portrait of Diane Arbus,2006,220914
3717069,G.I. Jesus,2006,8528
3718967,Game 6,2005,103626
3719460,Games People Play,2004,111336
3719948,Gang of Roses,2003,30497
3721107,Garden State,2004,26782316
3721216,Garfield,2004,75369589
3721242,Garfield: A Tail of Two Kitties,2006,28426747
3722710,Gay Sex in the 70s,2005,249565
3726096,George Bush Goes to Heaven,2006,3056
3726434,Georgia Rule,2007,18882880
3727611,Get Rich or Die Tryin',2005,30981850
3729386,Ghost Rider,2007,115802596
3729510,Ghost Town: The Movie,2007,29956
3729790,Ghosts of Cité Soleil,2006,48752
3729825,Ghosts of the Abyss,2003,17040711
3730765,Gigli,2003,6068735
3732512,Girlhood,2003,60019
3733379,Girls Rock!,2007,159271
3733476,Girls Will Be Girls,2003,147235
3733875,Giuliani Time,2005,21967
3734872,Glass: A Portrait of Philip in Twelve Parts,2007,20018
3734902,Glastonbury,2006,7317
3736065,Glory Road,2006,42643187
3736976,Goal!,2005,4280577
3737138,God and Gays: Bridging the Gap,2006,4490
3737244,God Grew Tired of Us: The Story of Lost Boys of Sudan,2006,275736
3737945,Gods and Generals,2003,12870569
3737999,Godsend,2004,14379751
3738801,Going Upriver: The Long War of John Kerry,2004,613252
3740021,Golemata voda,2004,14432
3740528,Gone Baby Gone,2007,20300218
3741034,Good Boy!,2003,37566230
3741482,Good Luck Chuck,2007,34925283
3741748,"Good Night, and Good Luck.",2005,31501218
3743304,Gory Gory Hallelujah,2003,11798
3743767,Gothika,2003,59694580
3744097,Goya's Ghosts,2006,1000045
3744435,Grace Is Gone,2007,50080
3744569,Gracie,2007,2955039
3745711,Grandma's Boy,2006,6088249
3746619,Gray Matters,2006,59619
3747239,Great World of Sound,2007,21594
3747571,Green Card Fever,2003,112746
3747947,Greendale,2003,251862
3748133,Greetings from the Shore,2007,96314
3748674,Gridiron Gang,2006,38432823
3748998,Grind,2003,5111630
3749033,Grindhouse,2007,25031037
3749253,Grizzly Man,2005,3174085
3751304,Guess Who,2005,68915888
3751588,Guiana 1838,2004,227241
3752853,Gunner Palace,2004,607502
3757165,Hair Show,2004,302990
3757264,Hairspray,2007,118871849
3758052,Half Nelson,2006,2694973
3758587,Halloween,2007,58272029
3760959,Hangman's Curse,2003,168406
3761239,Hannah Takes the Stairs,2007,22509
3761315,Hannibal Rising,2007,27670986
3761971,Happily N'Ever After,2006,15589393
3762600,Happy Endings,2005,1311633
3762669,Happy Feet,2006,198000317
3763558,Hard Candy,2005,1007962
3764978,Harold & Kumar Go to White Castle,2004,18225165
3765210,Harry + Max,2004,14923
3765358,Harry Potter and the Goblet of Fire,2005,290013036
3765365,Harry Potter and the Order of the Phoenix,2007,292004738
3765369,Harry Potter and the Prisoner of Azkaban,2004,249358727
3765497,Harsh Times,2005,3337931
3766450,Hatchet,2006,175281
3766505,Hate Crime,2005,40758
3767607,Haven,2004,136823
3769328,Head of State,2003,37788228
3769735,Headspace,2005,1650
3772965,Heights,2005,1158405
3774243,Hell's Highway: The True Story of Highway Safety Films,2003,1225
3774320,Hellbent,2004,187786
3774352,Hellboy,2004,59623958
3777477,Herbie Fully Loaded,2005,66023816
3777483,Herbie Hancock: Possibilities,2006,2493
3780995,Hidalgo,2004,67286731
3781427,Hide and Seek,2005,51100486
3781561,Hiding and Seeking: Faith and Tolerance After the Holocaust,2004,51091
3782832,Highwaymen,2004,367027
3787003,Hitch,2005,179495555
3787277,Hitman,2007,39687694
3789193,Holding Trevor,2007,16747
3789288,Holes,2003,67406573
3789547,Holla,2006,165171
3789745,Holly,2006,176300
3789941,Hollywood Buddha,2003,67862
3790017,Hollywood Dreams,2006,171255
3790133,Hollywood Homicide,2003,30013346
3790570,Hollywoodland,2006,14415222
3791765,Home of Phobia,2004,10462
3791774,Home of the Brave,2004,4874
3791775,Home of the Brave,2006,49753
3791807,Home on the Range,2004,50030461
3793283,Honey,2003,30222640
3793453,Honeydripper,2007,267880
3794202,Hood of Horror,2006,328000
3794268,Hoodwinked!,2005,51386611
3794515,Hooligans,2005,344095
3794612,Hoot,2006,8080116
3796566,Hostage,2005,34639939
3796619,Hostel,2005,47326473
3796632,Hostel: Part II,2007,17609452
3797210,Hot Fuzz,2007,23637265
3797539,Hot Rod,2007,13920741
3798674,Hounddog,2007,128092
3798931,House of 1000 Corpses,2003,12634962
3799005,House of D,2004,371081
3799216,House of Sand and Fog,2003,13005485
3799304,House of the Dead,2003,10249719
3799361,House of Wax,2005,32064800
3800640,How She Move,2007,7070459
3800739,How the Garcia Girls Spent Their Summer,2005,91432
3801160,How to Deal,2003,14108518
3801228,How to Eat Fried Worms,2006,13022756
3801346,How to Get the Man's Foot Outta Your Ass,2003,365727
3801470,How to Lose a Guy in 10 Days,2003,105813373
3801707,How to Rob a Bank (and 10 Tips to Actually Get Away with It),2007,711
3802251,Howard Zinn: You Can't Be Neutral on a Moving Train,2004,120250
3803868,Hulk,2003,132177234
3806356,Hustle & Flow,2005,22201636
3808523,I Am a Sex Addict,2005,112874
3808673,I Am David,2003,284002
3808871,I Am Legend,2007,256386216
3811258,I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,2007,10802
3811328,I Heart Huckabees,2004,12784713
3811624,I Know Who Killed Me,2007,7498716
3811819,I Like Killing Flies,2004,14721
3812520,I Love Your Work,2003,2580
3812998,I Now Pronounce You Chuck & Larry,2007,120059556
3814102,I Think I Love My Wife,2007,12550605
3814267,I Trust You to Kill Me,2006,12737
3814574,I Want Someone to Eat Cheese With,2006,194568
3815399,I'll Sleep When I'm Dead,2003,358804
3816028,I'm Not There.,2007,4017609
3816086,I'm Reed Fish,2006,3130
3816470,"I, Robot",2004,144801023
3817123,Ice Age: The Meltdown,2006,195330621
3817319,Ice Princess,2005,24381334
3818638,Identity,2003,52159536
3818806,Idiocracy,2006,438653
3818922,Idlewild,2006,12549485
3825354,Illegal Tender,2007,3054430
3826546,Imaginary Heroes,2004,228524
3826568,Imaginary Witness: Hollywood and the Holocaust,2004,21507
3828907,In Between Days,2006,22829
3829670,In Good Company,2004,45489752
3829765,In Her Line of Fire,2006,884
3829778,In Her Shoes,2005,32880591
3830838,In Search of a Midnight Kiss,2007,172177
3831679,In the Cut,2003,4750602
3832297,In the Land of Women,2007,11043445
3832422,In the Mix,2005,10105281
3832556,In the Name of the King: A Dungeon Siege Tale,2007,4535117
3832710,In the Realms of the Unreal,2004,413708
3832856,In the Shadow of the Moon,2007,1134049
3833103,In the Valley of Elah,2007,6777741
3835057,Independent Spirits: Faith Hubley/John Hubley,2003,1551
3835636,Indigo,2003,1190000
3836230,Infamous,2006,1150403
3837745,Inland Empire,2006,849055
3839226,Inside Deep Throat,2005,653621
3839364,Inside Man,2006,88513495
3842287,Interview,2007,416417
3842930,Into the Blue,2005,18472363
3843259,Into the Wild,2007,18427795
3843327,Intolerable Cruelty,2003,35327628
3843369,Intoxicating,2003,192000
3844322,Invincible,2006,57789574
3845220,Ira & Abby,2006,220234
3845343,Iraq in Fragments,2006,204462
3847384,Islam: What the West Needs to Know,2006,22939
3847779,Isn't This a Time! A Tribute Concert for Harold Leventhal,2004,2428
3848977,It Runs in the Family,2003,7375836
3849611,It's All About Love,2003,6140
3851340,Itty Bitty Titty Committee,2007,18479
3853946,Jackass Number Two,2006,72778712
3855159,Jailbait,2004,5741
3857803,Jarhead,2005,62658220
3860547,Jeepers Creepers II,2003,35667218
3862143,Jersey Girl,2004,25266129
3862724,Jesus Camp,2006,902544
3864687,Jiminy Glick in Lalawood,2004,25660
3864790,Jimmy Carter Man from Plains,2007,108282
3867923,John Tucker Must Die,2006,41011711
3868231,Johnny English,2003,28082366
3868525,Johnson Family Vacation,2004,31179516
3870151,Joshua,2007,478492
3870675,Journey from the Fall,2006,638951
3871325,Joyeux Noël,2005,1054361
3873970,Junebug,2005,2678691
