id,title,year,keyword
3282623,10 lat do Nashville,2010,f-rated
3282722,10 Mountains 10 Years,2010,f-rated
3282757,10 Rules for Sleeping Around,2013,"bare-breasts,bare-chested-male,barefoot-male,black-panties,breasts,cleavage,coitus,copulation,embarrassment-nudity,female-frontal-nudity,female-nudity,female-rear-nudity,girl-in-panties,hairy-chest,male-frontal-nudity,male-nudity,male-objectification,male-pubic-hair,male-rear-nudity,man-wearing-a-tank-top,mini-dress,mini-skirt,naked-in-public,no-panties,nude,nude-girl,nudity,open-marriage,panties,pink-panties,pubic-hair,public-nudity,purple-panties,red-dress,scantily-clad-female,scene-during-end-credits,sex-in-bed,story-continued-during-end-credits,swinger,swingers,taking-off-shirt,tank-top,topless-female-nudity,upskirt,voyeur,voyeurism,white-panties,woman-in-shower"
3282830,10 Years,2011,"high-school-reunion,kissing-while-having-sex,number-in-title,old-friends-reunited,reunion,reunited-friends"
3282833,10 Years Later,2010,number-in-title
3282856,10%: What Makes a Hero?,2013,"anti-hero,hero,human-behavior,nazi-germany,protest,reluctant-hero,road-trip,social-experiment,super-hero,whistleblower"
3282903,10-E-C,2009,"marijuana,road-trip,tennessee"
3282985,100 Degrees Below Zero,2013,"airplane,army,ash-cloud,blizzard,climate,climate-change,destruction,disaster,disaster-film,disaster-movie,earthquake,eiffel-tower,eiffel-tower-destroyed,evacuation,freeze-to-death,hail,hail-stone,helicopter,ice-storm,mugger,natural-disaster,paris-france,pilot,scientist,snow,storm,tunnel,volcanic-eruption,volcano,weather"
3282999,100 Ghost Street: The Return of Richard Speck,2012,"blood,blood-splatter,camera,corpse,cruelty,danger,dark,darkness,death,evil,evil-being,evil-entity,evil-force,evil-presence,fake-documentary,fear,flashlight,found-footage,fright,ghost,gore,handheld-camera,haunted-house,homicide,independent-film,investigation,killing,killings,looking-at-the-camera,mockumentary,murder,mysterious-death,mysterious-noise,night,obscurity,panic,paranormal,paranormal-activity,paranormal-entity,paranormal-phenomena,rat,research,running,scare,scream,screaming,supernatural-rape,talking-to-the-camera,video-camera,violence"
3283046,100 Lives,2009,number-in-title
3283067,100 Miles to 40,2010,"24-hours,birthday,extreme-sports,marathon,running"
3283119,100 Signatures,2013,"breakfast,f-rated,political-party,politics"
3283647,1040: Christianity in the New Asia,2010,"christianity,religion"
3283866,11/11/11,2011,"american-abroad,author,barcelona-spain,bare-chested-male,beach,betrayal,book,brother-brother-relationship,burned-alive,burnt-body,car-crash,cemetery,chandelier,character-repeating-someone-else's-dialogue,church,computer,corpse,date-in-title,death-of-child,death-of-father,death-of-protagonist,death-of-son,death-of-wife,diary,dying-father,evil,evil-priest,father-son-relationship,fire,flashback,fog,foot-chase,hallucination,hospital,hotel,housekeeper,hyphen-in-title,lens-flare,library,literary-agent,loss-of-faith,manipulation,maze,murder,nightmare,no-opening-credits,number-in-title,occult,pentagram,photograph,pistol,punctuation-in-title,religion,repetition-in-title,security-camera,self-sacrifice,sermon,shot-in-the-chest,shot-in-the-shoulder,shot-to-death,stabbed-in-the-back,stabbed-to-death,statue,supernatural,support-group,surprise-ending,title-appears-in-writing,title-spoken-by-character,unsubtitled-foreign-language,voice-over-narration,watch,wheelchair-bound,written-by-director,year-2011"
3284051,11:58,2010,time-for-title
3284158,12 Dogs of Christmas: Great Puppy Rescue,2012,christmas
3284251,12 O'Clock Boys,2013,"baltimore-ravens,number-in-title,time-in-title"
3284268,12 Rounds,2009,"2000s,abduction,action-hero,alarm-clock,badge,bare-chested-male,blonde,blood,blood-on-camera-lens,bomb,bouncing-betty-land-mine,bound-and-gagged,boyfriend-girlfriend-relationship,brother-brother-relationship,bundle-of-money,bureau-of-engraving-and-printing,bus-5050,cable-tie-handcuffs,car,car-boat-crash,car-bomb,car-fire-truck-crash,car-rollover,cell-phone,chasing-a-car-on-foot,chess,circular-saw,crime-lord,criminal,cult-film,damsel-in-distress,death-of-friend,death-of-girlfriend,detective,diamond,diamonds,die-hard-scenario,dog,elevator,elevator-crash,elevator-shaft,escaped-criminal,ex-convict,exploding-building,exploding-car,exploding-helicopter,exploding-house,explosion,explosive,explosive-vest,facial-recognition-software,fall,falling-elevator,fbi,fbi-agent,ferry,fifty-dollar-bill,fire,fire-truck,firefighter,fireman,firetruck,first-part,fistfight,friend,game,geo-coordinates,glock,government-agent,gun,gun-pointed-at-face,hands-tied,heist,helicopter,helicopter-explosion,hero,hostage,hotel,hotel-monteleone,house-explosion,hundred-dollar-bill,jumping-from-a-helicopter,jumping-from-height,jumping-into-a-swimming-pool,kidnapping,killed-with-a-car,latex-gloves,loss-of-loved-one,machine-gun,machismo,martial-arts,maverick-cop,medivac-helicopter,mercilessness,mixed-martial-arts,money,money-floating-in-the-air,moral-dilemma,murder,new-orleans-louisiana,number-in-title,obese-man,one-man-army,one-year,party,passionate-kiss,phone-conversation,picture,pistol,playing-chess,police,police-chase,police-detective,police-officer,police-officer-killed,police-shootout,pool-table,power-outage,psychopath,pug,punched-in-the-face,race-against-time,remote-detonator,rescue,rescue-mission,revenge,revenge-plot,robbery,rooftop,sadism,sadist,safe-deposit-box,semiautomatic-pistol,shootout,showdown,smashing-a-windshield,sniper,stabbed-in-the-belly,suspense,swat-team,swimming-pool,tailing-a-suspect,terrorism,terrorist,time,time-bomb,title-spoken-by-character,tolley-car-crash,tough-cop,tough-guy,toy-car,train,tram,uh-1-huey-helicopter,underwater-scene,vault,villain,violence,waffle-ice-cream-cone,wanted-poster,water-leak,woman-in-a-bikini,woman-wearing-monokini,woman-wearing-only-a-shirt,wrestling"
3284270,12 Rounds 2: Reloaded,2013,"abandoned-factory,accidental-killing,ambulance,anti-villain,bare-breasts,bare-chested-male,bare-chested-male-bondage,beating,black-and-white-scene,black-comedy,body-in-a-trunk,bomb,brawl,brutality,bulldozer,burned-alive,burned-to-death,c4-explosives,car-accident,car-bomb,car-chase,car-crash,car-overturned,cell-phone,chinatown,cocaine-snorting,corpse,corrupt-cop,corrupt-official,crime-scene,criminal-mastermind,dead-body-in-car-trunk,death,death-of-father,death-of-wife,death-threat,deception,defibrillation,desperation,detective,disarming-someone,driving-in-reverse,e.-m.-t.,electrocution,engineer,exploding-body,exploding-car,explosion,f-word,false-accusation,father-son-relationship,female-cop,female-lawyer,fight,fire,fire-truck,firefighter,fistfight,flashback,flashlight,foot-chase,frame-up,freeze-frame,governor,hands-tied,head-butt,held-at-gunpoint,hidden-camera,hostage,hotwiring,human-bomb,husband-wife-relationship,implanted-explosive,insanity,interrogation,judge,jumping-from-a-car,kicked-in-the-face,kicked-in-the-stomach,kidnapping,knocked-out,lasersight,latex-gloves,lawyer,machine-gun,manipulation,mercilessness,mind-game,missing-person,motel,motorcycle,mouth-sewn-shut,murder,news-report,newspaper-clipping,nightclub,number-in-title,paramedic,parking-garage,parolee,pay-phone,person-on-fire,photograph,pickup-truck,pistol,police,police-chase,police-detective,police-officer-killed,police-station,prostitute,psychological-torture,psychopath,punched-in-the-face,race-against-time,rain,remote-detonator,rescue,revenge,reverse-footage,righteous-rage,second-part,security-camera,security-guard,sequel,sex-scene,shot-in-the-chest,shot-in-the-head,shot-to-death,shotgun,slow-motion-scene,sole-black-character-dies-cliche,stealing-a-car,suicide,suicide-by-cop,surveillance,swat-team,taser,tied-to-a-chair,timebomb,topless-female-nudity,torture,tough-guy,tracking-device,train,trip-wire,valet,violence,wrench"
