id,title,year,gross
3494444,Chandni Chowk to China,2009,921738
3496440,Charlie St. Cloud,2010,31162545
3497166,Chasing Ice,2012,1328467
3497205,Chasing Mavericks,2012,6002756
3498048,Cheap Thrills,2013,59379
3499695,Chernobyl Diaries,2012,18119640
3499755,Cherry,2010,11362
3502330,Child of God,2013,37949
3502682,Children of Invention,2009,8992
3503346,Chimpanzee,2012,28965459
3504404,Chloe,2009,3074838
3506809,Christmas Ride,2013,700
3507175,Chronicle,2012,64575175
3508116,Church,2010,550000
3508319,Chuyen tình xa xu,2009,172453
3510341,Circle,2010,9730
3510533,Circo,2010,77466
3510700,Circumstance,2011,441404
3510979,Cirque du Freak: The Vampire's Assistant,2009,13838130
3511018,Cirque du Soleil: Worlds Away,2012,12495865
3511243,Citizen Koch,2013,153908
3511522,City Island,2009,6670712
3512844,Clash of the Titans,2010,163214888
3514172,Client 9: The Rise and Fall of Eliot Spitzer,2010,187540
3515100,Closed Circuit,2013,5733310
3515457,Cloud Atlas,2012,27108272
3515592,Cloudy with a Chance of Meatballs,2009,124870275
3515594,Cloudy with a Chance of Meatballs 2,2013,119793567
3517604,Code Black,2013,190229
3518427,Coherence,2013,68877
3519023,Cold Souls,2009,903148
3519131,Cold Weather,2010,141358
3519443,Collapse,2009,46964
3522454,Comic-Con Episode IV: A Fan's Hope,2011,34665
3522868,Coming Up Roses,2011,20491
3524383,Compliance,2012,318622
3524632,Computer Chess,2013,101218
3525069,Conan O'Brien Can't Stop,2011,267473
3525073,Conan the Barbarian,2011,21295021
3525583,Concussion,2013,38361
3526195,Confessions of a Shopaholic,2009,44277350
3526893,"Connected: An Autoblogography About Love, Death & Technology",2011,13301
3527919,Contagion,2011,75658097
3528382,Contraband,2012,66528000
3528441,Contracted,2013,4105
3529187,Conviction,2010,6783129
3529283,Cook County,2009,17977
3529564,Cool It,2010,62713
3529768,Cop Out,2010,44875481
3529986,Copperhead,2013,171740
3530214,Coraline,2009,75286229
3530566,Corman's World: Exploits of a Hollywood Rebel,2011,6468
3532827,Countdown to Zero,2010,271323
3533153,Country Strong,2010,20218921
3533404,Couples Retreat,2009,109205660
3533555,Courageous,2011,34522221
3534350,Cowboys & Aliens,2011,100240551
3534464,Cowgirls 'n Angels,2012,119782
3535198,Crank: High Voltage,2009,13630226
3535774,Crazy Eyes,2012,6106
3535825,Crazy Heart,2009,39462438
3535830,Crazy Horse,2011,155677
3535939,Crazy on the Outside,2010,64438
3536013,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,2011,80752
3536027,"Crazy, Stupid, Love.",2011,84351197
3536539,Creature,2011,327000
3537282,Crime After Crime,2011,58840
3538492,Crooked Arrows,2012,1830475
3538594,Cropsey,2009,52476
3539018,Crossing Over,2009,454149
3539606,Crude,2009,170295
3544520,Cutie and the Boxer,2013,200036
3545422,Cyrus,2010,7455447
3547371,Dabba,2013,4231500
3547970,Daddy's Home,2010,1012
3549609,Dallas Buyers Club,2013,27298285
3550297,Damsels in Distress,2011,1007535
3550748,Dance Flick,2009,25615792
3551261,Dancing Across Borders,2010,65060
3551398,Dancing in Jaffa,2013,134484
3554550,Dark Horse,2011,940430
3554933,Dark Shadows,2012,79727149
3555005,Dark Skies,2013,17411930
3555560,Darling Companion,2012,793352
3559203,Date Night,2010,98711404
3561353,Daybreak,2010,1217500
3561370,Daybreakers,2009,30101577
3561474,Daylight,2010,3883
3564494,Dead Awake,2010,712000
3565134,Dead Man Down,2013,10880926
3565868,Deadfall,2012,65804
3565872,Deadfall Trail,2009,35855
3566685,Dealin' with Idiots,2013,15308
3567091,Dear John,2010,80014842
3567218,Dear Mr. Watterson,2013,6800
3567539,Death at a Funeral,2010,42739347
3567607,Death by China,2012,37412
3567998,Death Metal Angola,2012,4674
3569418,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,151389
3569631,Decoding Annie Parker,2013,39850
3569633,Decoding Deepak,2012,9050
3570165,Deep in the Heart,2012,819000
3570962,Defendor,2009,44462
3571116,Definição,2010,63407915
3572485,Delivery Man,2013,30664106
3582566,Design Is One: The Vignellis,2012,16386
3583070,Desperate Endeavors,2012,4869
3583308,Despicable Me,2010,251513985
3583310,Despicable Me 2,2013,368061265
3584486,Detachment,2011,71177
3584715,Detention,2010,190
3584745,Detention of the Dead,2012,1332
3584998,Detropia,2012,356172
3585758,Devil,2010,33583175
3588011,Diana Vreeland: The Eye Has to Travel,2011,1004821
3588376,Diary of a Wimpy Kid,2010,64003625
3588377,Diary of a Wimpy Kid: Dog Days,2012,49008662
3588378,Diary of a Wimpy Kid: Rodrick Rules,2011,52698535
3588944,Did You Hear About the Morgans?,2009,29580087
3597567,Dinner for Schmucks,2010,73026337
3598966,Dirty Girl,2010,53630
3599406,Dirty Wars,2013,384473
3599908,Disconnect,2012,7435950
3601488,District 9,2009,115646235
3601992,Divided We Unite,2012,4000000
3602801,Django Unchained,2012,162805434
3604828,Documented,2013,5422
3606751,Dolphin Tale,2011,72286779
3607663,Don Jon,2013,24477704
3608047,Don't Be Afraid of the Dark,2010,24042490
3611023,Dorfman,2011,13737
3613187,Douchebag,2010,18117
3613591,Down by the River,2012,200000
3613885,Down the Shore,2011,4808
3614117,Downloaded,2013,8278
3614239,Downtown Express,2011,3474
3615416,Drag Me to Hell,2009,42100625
3615719,Dragonball Evolution,2009,9353573
3616763,Dream House,2011,21283440
3617404,Dreamkiller,2010,15514
3617877,Dredd,2012,13414714
3618718,Drinking Buddies,2013,342936
3618874,Drive,2011,35060689
3618891,Drive Angry,2011,10706786
3619494,Drool,2009,1199
3621588,Due Date,2010,100539043
3622551,Dumbstruck,2010,15017
3623113,Duplicity,2009,40572825
3624521,Dylan Dog: Dead of Night,2010,1183354
3624776,Dysfunctional Friends,2012,13546
3626664,Eames: The Architect & The Painter,2011,147591
3626926,Earth Days,2009,26484
3627633,Easy A,2010,58401464
3627952,Eat Pray Love,2010,80574010
3628491,Echelon Conspiracy,2009,500154
3628869,Echotone,2010,6345
3629847,Edge of Darkness,2010,43313890
3644042,Elaine Stritch: Shoot Me,2013,303100
3644859,Elektra Luxx,2010,10822
3645273,Elevate,2011,3547
3647285,Elysium,2013,93050117
3648881,Emperor,2012,5168217
3649326,Emptying the Skies,2013,11811
3651785,End of Watch,2012,41003371
3651918,Ender's Game,2013,61737191
3651978,Ending Taxation: The Only Game in Town,2010,17000
3653487,Enough Said,2013,17536788
3655151,Epic,2013,107518682
3655668,Equal Strength,2011,3085
3658254,Escape Fire: The Fight to Rescue American Healthcare,2012,97316
3658375,Escape from Planet Earth,2013,57012977
3658437,Escape from Tomorrow,2013,169719
3658474,Escape Plan,2013,25135965
3661413,Ethereal Everlasting,2011,69155
